target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_003911.12_cds_WP_044027870.1_589,0.000289576,0.000323791,13.13664149,12.50909497,1,7.28608252,0.962238074,0.002932055,0.959306019,0.131477418,0.959306019
lcl|NC_003911.12_cds_WP_011048822.1_3179,0.000290073,0.000324264,13.1334338,0.336277811,1,6.397701586,0.025867524,0.002562812,0.023304712,0.151882112,0.151882112
lcl|NC_003911.12_cds_WP_011048574.1_2920,0.000295058,0.000329753,13.10150736,0.468473216,1,6.817308132,0.036036401,0.001669684,0.034366717,0.103221618,0.103221618
lcl|NC_003911.12_cds_WP_011046239.1_477,0.00029658,0.00033137,13.09186995,1.008427794,1,5.862666975,0.077571369,0.003569748,0.074001621,0.265536529,0.265536529
lcl|NC_006569.1_cds_WP_144084114.1_4351,0.00029842,0.000333341,13.08028823,11.97050282,1,6.405030833,0.920807909,0.005050501,0.915757408,0.150587697,0.915757408
lcl|NC_003911.12_cds_WP_011046769.1_1022,0.000298839,0.000333724,13.07765997,1.307640873,1,7.621319129,0.100587759,0.000542139,0.100045621,0.208343963,0.208343963
lcl|NC_003911.12_cds_WP_044028214.1_1925,0.000299538,0.000334421,13.07327788,3.40199779,1,6.92399931,0.261692138,0.002022084,0.259670054,0.100654894,0.259670054
lcl|NC_003911.12_cds_WP_011047851.1_2163,0.000300625,0.00033555,13.06649462,7.934064763,1,5.741125756,0.610312674,0.010435658,0.599877016,0.290961867,0.599877016
lcl|NC_003911.12_cds_WP_011046796.1_1054,0.000302912,0.000338017,13.0522984,1.804090399,1,7.136396875,0.138776185,0.000861014,0.13791517,0.111552813,0.13791517
lcl|NC_003911.12_cds_WP_011047173.1_1461,0.000303473,0.000338557,13.04883425,1.230427734,1,7.61834658,0.094648287,0.00062369,0.094024598,0.207375844,0.207375844
