"","geneNames","feature","id","fc","pval","qval","mean"
"353","SPO2539.t01","gene","MSTRG.1988",0.553109567474785,0.0275070372830857,0.115590058785426,86.4235885714286
"354","SPO2540.t01","gene","MSTRG.1989",0.210311206987018,0.000292157274411231,0.0250741490639916,85.8954147142857
"355","SPO2541.t01","gene","MSTRG.1990",0.404886643955408,0.00204512026976489,0.0406092142078592,92.8831199285714
"356","SPO2545.t01","gene","MSTRG.1994",0.493148763805929,0.00209766564518232,0.0406092142078592,79.9837662857143
"357","SPO2546.t01","gene","MSTRG.1995",0.288485676048375,0.000925314810114375,0.0319910169182914,77.635675
"358","SPO2547.t01","gene","MSTRG.1996",0.295820446337042,0.000526667023296401,0.0295564219409884,85.6868447142857
"359","SPO0277.t01","gene","MSTRG.200",1.11982449399309,0.0317676743043704,0.122522557432931,210.690046910082
"360","SPO2552.t01","gene","MSTRG.2000",1.70543668454173,0.0419759278654412,0.138959192403174,44.9232673421454
"361","SPO2559.t01","gene","MSTRG.2003",0.530778952054073,0.00451641485124477,0.0503045567029415,87.9051757622504
"362","SPO2569.t01","gene","MSTRG.2008",1.59701777778643,0.0233667052353044,0.106989817479329,114.1036245
"363","SPO2570.t01","gene","MSTRG.2009",1.7638193246736,0.00107075780515298,0.0320130720414842,122.434646285714
"364","SPO2574.t01","gene","MSTRG.2013",1.27715255022497,0.02996106185354,0.119519759379645,94.8791268869449
"365","SPO2580.t01","gene","MSTRG.2018",0.561482136106944,0.0154322983166502,0.0879004620613321,309.598786571429
